TABC Certificate Number,Permit/License Number,Brand Name,Type,Approval Date,Trade Name,Alcohol Content by Volume,TTB Number,File Link
758166,S246297,JAUME SERRA CRISTALINO ROSE BRUT,WINE,09/27/2010,CIV (USA),11.5,10238001000382,https://storage.googleapis.com/tabc-public-labels/7d75012da568b1849826a1b88b1bacd9.pdf
800248,S246297,JAUME SERRA CRISTALINO-BRUT NATURE VINTA,WINE,03/12/2012,CIV (USA),11.5,11314001000557,https://storage.googleapis.com/tabc-public-labels/dcad961a098495830076f01decf61eff.pdf
800245,S246297,JAUME SERRA CRISTALINO-BRUT NATURE VINTA,WINE,03/12/2012,CIV (USA),11.5,11277001000249,https://storage.googleapis.com/tabc-public-labels/e6096666b9f89af68ecbeb8722b5b0a4.pdf
1025586,S976727,JAUME SERRA CRISTALINO-ROSE BRUT CAVA,WINE,08/03/2018,CIV USA INC.,11.5,18117001000343,https://storage.googleapis.com/tabc-public-labels/9f1bd2f5e30e36007c422f0995be6e21.pdf
1099979,S976727,"JAUME SERRA SPECIAL BOUQUET EDITION BRUT SPARKLING WINE CAVA, SP",WINE,10/29/2020,CIV USA INC.,11.5,20083001000462,https://storage.googleapis.com/tabc-public-labels/f25947072ce30e5375de35ab1281c7ac.pdf
752756,S223316,JAVA,WINE,07/16/2010,LIONSTONE INTERNATIONAL,11.5,10172001000361,https://storage.googleapis.com/tabc-public-labels/77be27b7bfb3edf6764c9f75d37eecb5.pdf
722435,S550763,JC CELLARS RIPKEN VINEYARD LATE HARVEST,WINE,05/22/2009,JC CELLARS,11.5,9035001000174,https://storage.googleapis.com/tabc-public-labels/8f45e621f26ea37b086fb754e91f9aa7.pdf
1114817,S575981,JEAN AUBRON LES BULLES SPARKLING MELON BLANC FRANCE,WINE,04/08/2021,FRUIT OF THE VINES INC.,11.5,20366001000153,https://storage.googleapis.com/tabc-public-labels/2f6f5c12edbcf9d2daf06318a1490d58.pdf
900352,S199577,JEAN FOILLARD,WINE,03/11/2015,KERMIT LYNCH WINE MERCHANT,11.5,11270001000208,https://storage.googleapis.com/tabc-public-labels/a3a1b9c132ac1384dfe1de533eaa88b4.pdf
723611,S427630,JEAN GUILLOT,WINE,06/09/2009,ROSY DISTRIBUTING INC.,11.5,9106002000003,https://storage.googleapis.com/tabc-public-labels/a7abc0abaaee4c2303c62f29c8f8de6d.pdf
723317,S684515,JEAN LEON - TERRASOLA,WINE,06/04/2009,MIGUEL TORRES S.A.,11.5,8064002000020,https://storage.googleapis.com/tabc-public-labels/d69f6b7d7cf85bdcb0ed9fbe5805a54e.pdf
726082,S683718,JEAN LOUIS TROCARD-LE BLANC DE JEAN-LOUI,WINE,07/07/2009,CELLIER DES CHARMETTES,11.5,8053003000017,https://storage.googleapis.com/tabc-public-labels/7f377b197165193c269712a9cd1ebf95.pdf
939234,S575981,JEAN PERRIER,WINE,03/29/2016,FRUIT OF THE VINES INC.,11.5,12060001000325,https://storage.googleapis.com/tabc-public-labels/7b0be4c74217c2f6c046f23c242a46df.pdf
1062733,S575981,JEAN PERRIER ET FILS APREMONT CUVEE GAST,WINE,08/01/2019,FRUIT OF THE VINES INC.,11.5,12060001000325,https://storage.googleapis.com/tabc-public-labels/4a105e7f4c1ae933e88ac3908448a928.pdf
642432,S515964,JEAN PHILIPPE,WINE,10/18/2006,BLACHON,11.5,6215001000116,https://storage.googleapis.com/tabc-public-labels/b71be6158db795110d0fdb889d72171c.pdf
851957,S575981,JEAN-YVES PERON CHAMPS LEVAT,WINE,09/18/2013,FRUIT OF THE VINES INC.,11.5,11080001000087,https://storage.googleapis.com/tabc-public-labels/5452845ecd6bc1c9c3f53d162e3934b8.pdf
851773,S575981,JEAN-YVES PERON COTE PELEE,WINE,09/17/2013,FRUIT OF THE VINES INC.,11.5,11087001000390,https://storage.googleapis.com/tabc-public-labels/be11cdef11a304971add74556d28c845.pdf
851958,S575981,JEAN-YVES PERON COTILLON DES DAMES,WINE,09/18/2013,FRUIT OF THE VINES INC.,11.5,11087001000470,https://storage.googleapis.com/tabc-public-labels/5651ea581fd071ae737368903a5d7316.pdf
957340,S897870,JEIO,WINE,09/12/2016,WILSON DANIELS LLC,11.5,16214001000195,https://storage.googleapis.com/tabc-public-labels/82b4d03d0ffdc3dbbf2e28349f162506.pdf
957336,S897870,JEIO,WINE,09/12/2016,WILSON DANIELS LLC,11.5,16214001000201,https://storage.googleapis.com/tabc-public-labels/dcafe179edb6e6db70237855954aaa16.pdf
1008084,S897870,JEIO BRUT PROSECCO SUPERIORE WHITE SPARK,WINE,02/21/2018,WILSON DANIELS LLC,11.5,18012001000671,https://storage.googleapis.com/tabc-public-labels/d613fd85cfa9f17cf3fd9d9cc04ee659.pdf
810546,S776379,JELLYBEAN BUBBLES,WINE,06/14/2012,AMERICAN SPIRITS EXCHANGE LIMITED,11.5,12103001000569,https://storage.googleapis.com/tabc-public-labels/62b96ea23ebf14eac4998ed26c3bdd3a.pdf
935319,S776379,JELLYBEAN VINEYARDS,WINE,02/17/2016,AMERICAN SPIRITS EXCHANGE LIMITED,11.5,15197001000259,https://storage.googleapis.com/tabc-public-labels/2cabcc15d436ce946b4530f0f438043e.pdf
972196,S570496,JELLYBEAN VINEYARDS,WINE,02/08/2017,MENDOCINO WINE GROUP LLC,11.5,16308001000361,https://storage.googleapis.com/tabc-public-labels/6c09c66c3dc76db921cd5731065f3ebc.pdf
979930,S570496,JELLYBEAN-JELLY BEAN VINEYARDS,WINE,04/26/2017,MENDOCINO WINE GROUP LLC,11.5,15197001000259,https://storage.googleapis.com/tabc-public-labels/69c1f9257f7750d345d07ce63bbcd418.pdf
818126,S90079,JFJ,WINE,08/28/2012,BRONCO WINE COMPANY,11.5,12206001000003,https://storage.googleapis.com/tabc-public-labels/1a4cdfc6174542ce067b44e953c9eff1.pdf
629717,S90079,JFJ,WINE,06/05/2006,BRONCO WINE COMPANY,11.5,3059000000015,https://storage.googleapis.com/tabc-public-labels/df50c778908ba687c7006dee97540523.pdf
